Date,SDofDomBanks,SPIEX,SMI,SMIMid,Gov10yr,Gov3yr,Libor3M_CHF,CHFUSD,CHFEUR
01/02/2008,5060.2,181.37,7815.98,1484,2.817,2.334,2.65667,0.9178,0.62
08/02/2008,4489.5,177.52,7446.95,1437.85,2.761,2.225,2.71833,0.9073,0.6255
15/02/2008,6037.5,182.47,7353,1481.68,2.855,2.31,2.765,0.9147,0.623
22/02/2008,6137.8,183.05,7454.75,1493.3,2.901,2.384,2.78333,0.9216,0.6215
29/02/2008,5987.6,182.13,7533.86,1492.38,2.96,2.366,2.79667,0.9604,0.6328
07/03/2008,4696.4,176.85,7174.15,1446.97,2.967,2.34,2.815,0.9755,0.6352
14/03/2008,3998.6,174.02,7132.03,1418.37,2.882,2.27,2.80667,1.0013,0.6388
21/03/2008,6445.4,167.38,7009.86,1360.04,2.75,2.234,2.83667,0.9908,0.642
28/03/2008,6437.9,175.06,7239.35,1425.89,2.948,2.41,2.885,1.0047,0.636
04/04/2008,3785.6,179.69,7573.49,1465.43,2.966,2.455,2.89667,0.9941,0.6317
11/04/2008,5517.8,173.57,7258.96,1396.47,2.958,2.396,2.81333,0.9988,0.6318
18/04/2008,5212.2,178.09,7418.02,1447.18,3.177,2.697,2.84833,0.9822,0.621
25/04/2008,4000.2,180.33,7509.48,1468.98,3.158,2.641,2.84167,0.9669,0.6186
02/05/2008,4690.4,184.27,7665.8,1507.16,3.128,2.611,2.805,0.9459,0.6132
09/05/2008,4722.9,183.95,7483.97,1506.16,2.982,2.524,2.775,0.9605,0.6205
16/05/2008,4007.3,187.22,7653.71,1535.3,3.019,2.63,2.77833,0.9544,0.6127
23/05/2008,5515.3,183.81,7459.94,1501.78,3.052,2.693,2.775,0.9758,0.6191
30/05/2008,4908.2,186.53,7511.29,1530.9,3.19,2.788,2.7775,0.9595,0.6169
06/06/2008,5097,185.56,7386.42,1516.26,3.229,3.002,2.82667,0.9817,0.6222
13/06/2008,7239,180.93,7261.37,1470.03,3.418,3.093,2.90583,0.9553,0.6212
20/06/2008,5076.6,176.37,7069.44,1424.19,3.38,3.009,2.82,0.9654,0.6186
27/06/2008,4842.8,170.82,6861.54,1369.55,3.291,2.901,2.78833,0.9825,0.6221
04/07/2008,4424.4,163.53,6772.74,1301.51,3.245,2.868,2.8,0.9751,0.6209
11/07/2008,5753.3,159,6638.89,1253.12,3.128,2.744,2.8,0.9841,0.6175
18/07/2008,4397.9,162.81,6827.31,1306.13,3.19,2.774,2.78667,0.9779,0.6171
25/07/2008,5105.7,164.6,7015.03,1328.34,3.226,2.684,2.76417,0.9648,0.6141
01/08/2008,5411.1,164.54,7141.21,1318.99,3.054,2.518,2.755,0.9528,0.6121
08/08/2008,5077.9,167.64,7262.1,1358.65,2.985,2.437,2.74833,0.9242,0.6158
15/08/2008,5882.4,168.67,7235.93,1372.41,2.88,2.306,2.74667,0.9117,0.6207
22/08/2008,5477.3,166.03,7094.12,1339.37,2.906,2.388,2.74833,0.9102,0.6153
29/08/2008,5221.3,169.54,7238.74,1383.68,2.885,2.395,2.745,0.908,0.6189
05/09/2008,5161,166.13,6976.59,1356.42,2.769,2.249,2.73,0.8939,0.6266
12/09/2008,5082.1,167.37,7215.5,1376.1,2.845,2.294,2.73,0.8847,0.622
19/09/2008,5286.8,166.54,7025.17,1388.79,2.782,1.982,2.79333,0.9047,0.6254
26/09/2008,5057.1,159.26,6815.52,1312.29,2.742,1.924,2.855,0.9174,0.6277
03/10/2008,9340,149.63,6879.82,1226.25,2.624,1.694,3.02167,0.8861,0.6433
10/10/2008,7622.5,126.35,5347.22,1029.49,2.833,1.574,3.12667,0.8783,0.6548
17/10/2008,7502.2,128.37,6099.62,1041.23,2.974,1.928,3.09,0.8799,0.6558
24/10/2008,7355.5,119.64,5675.09,969.03,2.73,1.837,2.92,0.8568,0.6787
31/10/2008,10061.6,123.92,6153.21,1008.67,2.837,1.8,2.71833,0.8614,0.677
07/11/2008,6232.9,124.68,6008.16,1022.42,2.717,1.967,2.305,0.8484,0.6671
14/11/2008,6656.1,119.91,5834.75,984.97,2.603,1.773,2.07667,0.8354,0.6635
21/11/2008,15589.7,110.75,5144.02,906.4,2.25,1.302,1.325,0.8177,0.6506
28/11/2008,24957.8,119.19,5816.6,989.55,2.277,1.422,1.255,0.8241,0.6494
05/12/2008,15581.3,112.96,5530.84,919.21,2.051,1.112,1.16667,0.8191,0.6441
