Date;SDofDomBanks;OtherSD;TotalSD;M1Switzerland;SNBFXinv;SPIEX;SMI;SMIMid;Gov10yr;Gov3yr;Libor3M_CHF;OvernightLendingRate;CHFUSD;CHFEUR
2011-08-19;114551;22063.1;136614.1;441906;188734.8;127.36;5093.75;1008.97;0.881;0.06;0.00833;-0.75;1.2737;0.8847
2011-08-26;163906;25131;189037;441906;188734.8;132.02;5323.12;1057.23;0.983;0.038;0.005;-0.075;1.2402;0.8553
2011-09-02;191609;38188;229797;465179;280982;134.61;5359.67;1078.49;0.954;-0.017;0.005;-0.145;1.2686;0.893
2011-09-09;207678;45761.7;253439.7;465179;280982;134.03;5430.77;1078.41;0.978;0.052;0.00667;0.05;1.1315;0.8288
2011-09-16;205785;41648.7;247433.7;465179;280982;137.12;5452.88;1105.52;0.989;-0.002;0.00667;-0.04;1.142;0.8275
2011-09-23;203405;38862.7;242267.7;465179;280982;130.17;5298.83;1041.82;0.888;-0.055;0.01;0.075;1.1041;0.8186
2011-09-30;200471;37080.1;237551.1;470320;305281.5;133.58;5531.74;1071.72;0.919;-0.045;0.02333;0.14;1.1011;0.8226
2011-10-07;198408;37145.5;235553.5;470320;305281.5;135.19;5652.23;1097.22;0.945;-0.005;0.03;0.105;1.0785;0.8062
2011-10-14;195553;39626.3;235179.3;470320;305281.5;138.38;5761.12;1119.79;1.038;-0.003;0.04;0.155;1.1217;0.8079
2011-10-21;190971;40580.9;231551.9;470320;305281.5;138.29;5753.52;1121.36;0.996;-0.029;0.04167;0.105;1.1331;0.8155
2011-10-28;191051;40273.4;231324.4;470320;305281.5;143.12;5852.66;1172.51;1.022;-0.005;0.04333;0.105;1.1583;0.8188
2011-11-04;187341.1;42839.4;230180.5;476112;261815.4;139.73;5659.83;1137.54;0.859;-0.101;0.04333;0.155;1.1305;0.8197
2011-11-11;188990.3;42346;231336.3;476112;261815.4;139.76;5649.03;1140.89;0.891;-0.056;0.04333;0.085;1.1113;0.8082
2011-11-18;189312.6;42199;231511.6;476112;261815.4;135.39;5614.61;1097.09;0.853;-0.023;0.05;0.125;1.091;0.8067
2011-11-25;185410;42966.6;228376.6;476112;261815.4;129.65;5395.61;1050.11;0.859;-0.059;0.05;0.125;1.0753;0.8122
2011-12-02;181149.1;47372.8;228521.9;476649;261949.7;137.65;5718.85;1129.83;0.814;-0.064;0.05167;0.105;1.0853;0.8104
2011-12-09;176542;49483.5;226025.5;476649;261949.7;137.54;5793.57;1124.61;0.731;-0.085;0.05167;0.105;1.0835;0.8093
2011-12-16;173301.6;50920.9;224222.5;476649;261949.7;132.76;5733.5;1081.92;0.69;-0.041;0.05167;0.11;1.0684;0.819
2011-12-23;179801.2;43732.8;223534;476649;261949.7;136.6;5893.89;1112.63;0.674;-0.045;0.05167;0.18;1.0677;0.8179
2011-12-30;179669.7;41234.2;220903.9;476649;261949.7;137.17;5936.23;1118.49;0.64;-0.067;0.05167;0.38;1.0647;0.8221
2012-01-06;180270.2;36907.3;217177.5;482297;257504.2;137.44;6013.83;1119.86;0.75;-0.041;0.05167;0.045;1.0469;0.8231
2012-01-13;175566.3;43198.4;218764.7;482297;257504.2;139.97;5996.34;1139.89;0.739;-0.023;0.06;0.075;1.05;0.8281
2012-01-20;170582.9;45733.4;216316.3;482297;257504.2;143.02;6122.67;1169.66;0.765;0.041;0.06167;0.075;1.07;0.8275
2012-01-27;168355.4;48030.2;216385.6;482297;257504.2;143.4;6033.52;1166.16;0.744;0.04;0.06667;0.075;1.0957;0.8289
2012-02-03;171720.6;47605.3;219325.9;482958;247484;147.37;6153.31;1202.31;0.732;0.016;0.075;0.075;1.0891;0.8279
2012-02-10;171284.1;48201.3;219485.4;482958;247484;146.87;6130.66;1188.57;0.802;-0.008;0.08333;0.075;1.0911;0.8268
2012-02-17;167399.1;49943.3;217342.4;482958;247484;148.68;6237.69;1209;0.769;-0.002;0.08417;0.085;1.087;0.8273
